SKU,Model,Collection,Material,Shape,Size,Colors
4200,21102,Candy Shoppe,Acetate,ROUND,50- 20- 145,3
4207,21186,Candy Shoppe,Acetate,AVIATOR,55- 18- 145,3
4201,28017,Candy Shoppe,Acetate,CATEYE,54- 17- 145,1
4211,39061,Candy Shoppe,Acetate,ROUND,53- 21- 145,1
1150,7710,Peachtree,Metal,OVAL,50- 18- 140,3
1238,7713,Peachtree,Metal,RECTANGLE,49- 19- 140,3
1484,7719,Peachtree,Metal,OVAL,54- 19- 145,3
1737,7730,Peachtree,Metal,OVAL,53- 19- 145,3
2146,AG 5003,Artistik Galerie,Metal,ROUND,51- 19- 140,2
2140,AG 5010,Artistik Galerie,Metal,CATEYE,49- 20- 145,2
2274,AG 5014,Artistik Galerie,Metal,ROUND,48- 21- 145,1
2354,AG 5020,Artistik Galerie,Metal,SQUARE,48- 19- 140,3
2393,AG 5023,Artistik Galerie,Metal,CATEYE,52- 20- 145,2
2426,AG 5026,Artistik Galerie,Metal,ROUND,48- 20- 140,3
3641,AG 5027,Artistik Galerie,Metal,RECTANGLE,50- 18- 145,2
3669,AG 5030,Artistik Galerie,Metal,OTHER,49- 20- 135,3
3670,AG 5031,Artistik Galerie,Metal,OTHER,50- 17- 140,3
3674,AG 5032,Artistik Galerie,Metal,CATEYE,47- 20- 135,3
3568,AGO 1005,AGO,Acetate,SQUARE,48- 21- 140,2
3567,AGO 1006,AGO,Acetate,SQUARE,49- 20- 145,2
3518,AGO 1008,AGO,Metal,OTHER,50- 22- 145,1
3526,AGO 1009,AGO,Acetate,ROUND,47- 22- 155,1
3533,AGO 1010,AGO,Metal,ROUND,49- 21- 145,2
3807,AGO 1023,AGO,Metal,SQUARE,48- 21- 140,3
3822,AGO 1024,AGO,Metal,SQUARE,51- 20- 145,3
3823,AGO 1025,AGO,Metal,ROUND,49- 20- 140,3
3824,AGO 1026,AGO,Metal,CATEYE,50- 19- 140,3
3996,AGO 1029,AGO,Metal,ROUND,49- 20- 140,3
3601,AGOT 700,AGO,Metal,ROUND,50- 19- 145,1
3603,AGOT 702,AGO,Metal,ROUND,50- 19- 150,3
3605,AGOT 704,AGO,Metal,SQUARE,52- 16- 150,4
4603,ALAN,EYELEOS,Acetate,SQUARE,52- 17- 140,3
